h0,Signal
1e-15,40.0000000000033
5.17241379406897e-06,43.3549937916378
1.03448275871379e-05,46.7091751520841
1.55172413802069e-05,50.062396039165
2.06896551732759e-05,53.4144706433635
2.58620689663448e-05,56.7651602505889
3.10344827594138e-05,60.1141584464333
3.62068965524828e-05,63.4610591801863
4.13793103455517e-05,66.8053167963834
4.65517241386207e-05,70.1461795490557
5.17241379316897e-05,73.4825839541795
5.68965517247586e-05,76.8129752995329
6.20689655178276e-05,80.1349925787428
6.72413793108966e-05,83.4448783516328
7.24137931039655e-05,86.7362991565329
7.75862068970345e-05,89.9977843475104
8.27586206901035e-05,93.206600943693
8.79310344831724e-05,96.3125094819482
9.31034482762414e-05,99.1922811432825
9.82758620693103e-05,101.555864489953
0.000103448275862379,103.046285259751
0.000108620689655448,103.784064798391
0.000113793103448517,104.150341787433
0.000118965517241586,104.355084968426
0.000124137931034655,104.482765675703
0.000129310344827724,104.569153869967
0.000134482758620793,104.631207058728
0.000139655172413862,104.677825672036
0.000144827586206931,104.714081242898
0.00015,104.743059105826
