guest,Signal
1e-15,0.652593162774855
1.72413794068966e-07,0.605513007836604
3.44827587137931e-07,0.5550284050785
5.17241380206897e-07,0.504056429085287
6.89655173275862e-07,0.456061165664644
8.62068966344828e-07,0.413904594150941
1.03448275941379e-06,0.37893440825276
1.20689655248276e-06,0.350973089980525
1.37931034555172e-06,0.328974767694282
1.55172413862069e-06,0.311682761674235
1.72413793168966e-06,0.297978239571083
1.89655172475862e-06,0.286979816939248
2.06896551782759e-06,0.278028648243319
2.24137931089655e-06,0.270641402709201
2.41379310396552e-06,0.264464128892346
2.58620689703448e-06,0.259235849370085
2.75862069010345e-06,0.254762020442662
2.93103448317241e-06,0.250895792107006
3.10344827624138e-06,0.247524826430779
3.27586206931034e-06,0.244562086830016
3.44827586237931e-06,0.241939299119671
3.62068965544828e-06,0.239602298378115
3.79310344851724e-06,0.237507595010344
3.96551724158621e-06,0.235619970932472
4.13793103465517e-06,0.233910606385611
4.31034482772414e-06,0.232355718539457
4.4827586207931e-06,0.230935522055717
4.65517241386207e-06,0.229633433370226
4.82758620693103e-06,0.228435455449329
5e-06,0.227329697593946
