d0,Signal
1e-15,0.0408218005630899
2.5862069062069e-07,0.184176674336087
5.17241380241379e-07,0.321399966151654
7.75862069862069e-07,0.449348728293361
1.03448275948276e-06,0.564006346750047
1.29310344910345e-06,0.661394280973969
1.55172413872414e-06,0.739321592063457
1.81034482834483e-06,0.798632633604631
2.06896551796552e-06,0.842552915759056
2.32758620758621e-06,0.874950429623325
2.5862068972069e-06,0.899136575808403
2.84482758682759e-06,0.917548168898161
3.10344827644828e-06,0.931869312462022
3.36206896606897e-06,0.94324371523351
3.62068965568965e-06,0.952451771765911
3.87931034531034e-06,0.960033940594866
4.13793103493103e-06,0.966371629324373
4.39655172455172e-06,0.971739376329108
4.65517241417241e-06,0.976338646688098
4.9137931037931e-06,0.980319990160746
5.17241379341379e-06,0.983797813228756
5.43103448303448e-06,0.986860406884704
5.68965517265517e-06,0.989576872807606
5.94827586227586e-06,0.992001992365234
6.20689655189655e-06,0.994179705716409
6.46551724151724e-06,0.996145636326401
6.72413793113793e-06,0.997928949311475
6.98275862075862e-06,0.99955365598095
7.24137931037931e-06,1.00104015064265
7.5e-06,1.00240483989718
