"d0","Signal"
1e-15,15.0000000005984
5.17241379406897e-06,18.0947532291148
1.03448275871379e-05,21.1885112241646
1.55172413802069e-05,24.2810935859314
2.06896551732759e-05,27.3722737575818
2.58620689663448e-05,30.4617633513064
3.10344827594138e-05,33.5491896713874
3.62068965524828e-05,36.6340627529109
4.13793103455517e-05,39.7157257932786
4.65517241386207e-05,42.7932784522295
5.17241379316897e-05,45.8654542482593
5.68965517247586e-05,48.9304171397778
6.20689655178276e-05,51.9854092365213
6.72413793108966e-05,55.0261098229252
7.24137931039655e-05,58.0454015412495
7.75862068970345e-05,61.0308430035926
8.27586206901035e-05,63.9591636564022
8.79310344831724e-05,66.783848127809
9.31034482762414e-05,69.4095826566786
9.82758620693103e-05,71.667999212911
0.000103448275862379,73.4052667057998
0.000108620689655448,74.6765903098806
0.000113793103448517,75.6666545980059
0.000118965517241586,76.5100989684489
0.000124137931034655,77.2755544560844
0.000129310344827724,77.9965512622914
0.000134482758620793,78.6903601987925
0.000139655172413862,79.3665156392718
0.000144827586206931,80.0306302715037
0.00015,80.6861950959355
