"Var1","Var2","error"
"Mathematica_267931","measured",3.60328413851563e-05
"Mathematica_347140","measured",6.68906531010588e-05
"Mathematica_424221","measured",5.74372025340792e-05
"Thermosimfit_267931","measured",3.6039301649012e-05
"Thermosimfit_347140","measured",6.68957438527638e-05
"Thermosimfit_424221","measured",5.74427180500422e-05
