"Var1","Var2","error"
"Mathematica_423544","measured",1.24432335751821e-05
"Mathematica_513193","measured",1.93243801944279e-05
"Mathematica_572413","measured",2.91635707021797e-05
"Thermosimfit_423544","measured",1.653867695021e-05
"Thermosimfit_513193","measured",9.41608444585738e-06
"Thermosimfit_572413","measured",1.28839383903698e-05
