"Var1","Var2","error"
"Mathematica_267931","measured",0.00113945849344671
"Mathematica_347140","measured",0.00211526817975551
"Mathematica_424221","measured",0.00181632382436085
"Thermosimfit_267931","measured",0.0011396627849274
"Thermosimfit_347140","measured",0.00211542916345941
"Thermosimfit_424221","measured",0.00181649824028999
