V1,V2
0,228.443
0.4995,1627.786921
0.998004,2927.513933
1.495513,3995.442539
1.992032,4670.517169
2.487562,5031.619607
2.982107,5234.693753
3.47567,5341.393112
3.968254,5415.192247
4.459861,5482.162607
4.950495,5517.788764
5.440158,5544.915978
5.928854,5566.789281
6.416584,5571.692629
6.903353,5586.171506
7.389163,5593.866011
